metric_1,metric_2,mean_rank_disagreement,max_rank_disagreement
BLEU-4,CLIPScore,0.239095,0.8805
BLEU-3,CLIPScore,0.23825500000000002,0.866
METEOR,CLIPScore,0.22891,0.8355
BLEU-2,CLIPScore,0.22868900000000003,0.8614999999999999
BLEU-1,CLIPScore,0.22718200000000002,0.8714999999999999
ROUGE-L,CLIPScore,0.22146000000000002,0.8190000000000001
BLEU-4,polos,0.209889,0.857
BLEU-3,polos,0.20543899999999998,0.7919999999999999
METEOR,polos,0.199242,0.8565
BLEU-1,polos,0.198411,0.7575
CIDEr,CLIPScore,0.196702,0.83
BLEU-2,polos,0.19575700000000001,0.8074999999999999
ROUGE-L,polos,0.193021,0.7865
BLEU-1,METEOR,0.17341199999999998,0.7160000000000001
CIDEr,polos,0.16836199999999996,0.762
BLEU-1,BLEU-4,0.15762900000000002,0.6505
BLEU-1,CIDEr,0.15502,0.8049999999999999
BLEU-4,CIDEr,0.154162,0.7145
METEOR,CIDEr,0.151945,0.774
BLEU-4,METEOR,0.15140599999999999,0.677
BLEU-3,CIDEr,0.14880899999999997,0.636
BLEU-1,BLEU-3,0.148255,0.7575000000000001
BLEU-1,ROUGE-L,0.147045,0.7735
BLEU-3,METEOR,0.143351,0.6735
ROUGE-L,CIDEr,0.14259,0.7310000000000001
BLEU-2,CIDEr,0.141705,0.696
BLEU-2,METEOR,0.140851,0.7115
BLEU-4,ROUGE-L,0.14016499999999998,0.658
BLEU-3,ROUGE-L,0.135096,0.5975
CLIPScore,polos,0.132458,0.702
BLEU-2,ROUGE-L,0.13034199999999999,0.613
METEOR,ROUGE-L,0.114535,0.5835
BLEU-1,BLEU-2,0.106825,0.7955
BLEU-2,BLEU-4,0.092359,0.47800000000000004
BLEU-2,BLEU-3,0.070757,0.34600000000000003
BLEU-3,BLEU-4,0.034467,0.192
