metric_1,metric_2,mean_disagreement,max_disagreement,correlation
CIDEr,CLIPScore,0.4897048284899895,0.86092032484964,0.5364997853755767
BLEU-4,CLIPScore,0.44893310225442457,0.9111424308690558,0.38638615553734057
BLEU-1,CIDEr,0.4358347010052711,0.88660460437912,0.6154660738926879
BLEU-1,BLEU-4,0.3935764318308213,0.8311316603135458,0.6125453102442681
BLEU-3,CLIPScore,0.3737873101962357,0.9011750159296288,0.4460359552712275
CIDEr,polos,0.31947347953621624,0.7391986968039953,0.6678239589769494
BLEU-1,BLEU-3,0.3158224962510914,0.7904195215859556,0.7217567846069989
BLEU-4,polos,0.2846729551653442,0.785597588363542,0.5086956783868499
ROUGE-L,CIDEr,0.2800272482001743,0.6224883245190791,0.7355893683652317
METEOR,CLIPScore,0.2691025721362575,0.7234416810411917,0.49527147923227005
BLEU-2,CIDEr,0.261750812315928,0.7936262570873921,0.713118672216051
BLEU-2,CLIPScore,0.2492380869500223,0.8638258574898612,0.4989599972530222
BLEU-4,ROUGE-L,0.2402898175113243,0.6655565787010604,0.7088805181346514
METEOR,CIDEr,0.2366427882858343,0.7237224528232248,0.7243898951784925
ROUGE-L,CLIPScore,0.22694294575321092,0.6272823691684748,0.5401313476570226
BLEU-3,polos,0.22472878058278906,0.7520050016680161,0.5866709333791844
BLEU-2,BLEU-4,0.21888378427140617,0.6544061336795013,0.7951451568771061
BLEU-1,METEOR,0.2137292110923961,0.6663488778697118,0.6890891409586101
BLEU-4,METEOR,0.19877151735788784,0.8300163533321313,0.6721343457969797
CLIPScore,polos,0.18698899153729434,0.518093774592919,0.8034978903309755
BLEU-1,polos,0.18013601777666674,0.6411252393878392,0.6341815168730269
BLEU-1,BLEU-2,0.1748054544609037,0.7406912416971513,0.8734461979251352
BLEU-3,ROUGE-L,0.1702119304521084,0.6210066725559209,0.782812892497071
BLEU-1,ROUGE-L,0.16458183430261225,0.6187355280378536,0.7855584572522037
BLEU-1,CLIPScore,0.16185306345237865,0.5893837947188036,0.5096028711958126
METEOR,polos,0.16149456234010306,0.6277393464312444,0.6287259469627814
BLEU-2,polos,0.15645479484423153,0.7146558432282485,0.63990226246512
ROUGE-L,polos,0.1460198985501503,0.509334551980217,0.6681382850571465
BLEU-2,BLEU-3,0.14112171995963246,0.47729393568122735,0.9058351431539232
BLEU-3,METEOR,0.1386021060876547,0.7648333172082733,0.7500292271510421
BLEU-3,CIDEr,0.1281995696068037,0.7936262570873921,0.7453833663741966
BLEU-2,METEOR,0.10023640965813346,0.4491687877742891,0.7850937479030495
BLEU-2,ROUGE-L,0.09149581661602045,0.4110881852888876,0.8306083402767619
METEOR,ROUGE-L,0.07999388002860174,0.3381699830754404,0.8766771882611164
BLEU-3,BLEU-4,0.07776658227027634,0.42088189565554945,0.933069022041069
BLEU-4,CIDEr,0.07016260025325517,0.7936262570873921,0.7288467546303729
