perturbation_type,metric,n,mean_raw_delta,median_raw_delta,mean_normalized_delta,median_normalized_delta,ci_95_lower,ci_95_upper
object_replacement,BLEU-1,28,-0.07639632757417715,-0.08012820512820505,-0.3750408765701628,-0.3933612156958385,-0.4354400617116537,-0.31205522640930844
object_replacement,BLEU-2,28,-0.09329662047302123,-0.09680060966215505,-0.4347431808202111,-0.45107105419783433,-0.5464237089701899,-0.32822204264554466
object_replacement,BLEU-3,28,-0.06788872835922515,-0.05574039362769635,-0.3437166703557722,-0.282210360468896,-0.47615724631961437,-0.22659107605352807
object_replacement,BLEU-4,28,-0.05841068106745662,-0.021481018530476098,-0.3470587992150521,-0.12763378821920557,-0.57008859687807,-0.1675078479806355
object_replacement,METEOR,28,-0.09435881752589469,-0.0899916768845246,-0.5355046507023299,-0.510720277762482,-0.6620161392936147,-0.4125353065157382
object_replacement,ROUGE-L,28,-0.06917295592734925,-0.08166666666666661,-0.43185168493793996,-0.5098508099076482,-0.5265321115225957,-0.3317206267629858
object_replacement,CIDEr,28,-0.2875254564891948,-0.2042294412125077,-0.405758934271391,-0.28821072549568494,-0.5448580416189447,-0.2801806012715883
object_replacement,CLIPScore,28,-0.08256762155464714,-0.0774525851011276,-1.1471534499395617,-1.0760876785907039,-1.3907392113823767,-0.9090508304379622
object_replacement,polos,28,-0.18458898312279157,-0.16709595918655396,-1.6437136085399966,-1.4879430906462914,-1.8893116649853967,-1.4041050065309257
person_replacement,BLEU-1,39,-0.073280662071052,-0.0769230769230767,-0.35974561358442664,-0.37762676706800424,-0.4612924648419379,-0.26521756278758485
person_replacement,BLEU-2,39,-0.09493683562950514,-0.0765749606621273,-0.44238624817617744,-0.3568236641440021,-0.5950051632242958,-0.30380012791293753
person_replacement,BLEU-3,39,-0.06678259647214943,-0.0372279589654235,-0.3381163891546242,-0.18848298397973895,-0.463203436095209,-0.22476935667719827
person_replacement,BLEU-4,39,-0.048956819895763316,-0.01653444619524,-0.2908867833057614,-0.09824273467345396,-0.4237393735647284,-0.17382433872978142
person_replacement,METEOR,39,-0.06829689749009711,-0.0600694444444445,-0.38759818312104805,-0.3409057861103189,-0.520035077683949,-0.2637311261250758
person_replacement,ROUGE-L,39,-0.06106020562542092,-0.0651629072681703,-0.38120320764793975,-0.4068166658769015,-0.49728662601852963,-0.26891341592291085
person_replacement,CIDEr,39,-0.1522585843193755,-0.0829306235373181,-0.21486890817064838,-0.11703256412786077,-0.30481598681909955,-0.13571134157790807
person_replacement,CLIPScore,39,-0.052619750301043156,-0.0394175201654434,-0.7310726281832997,-0.5476474118359249,-0.960158934899589,-0.5132334032247323
person_replacement,polos,39,-0.11131081061485484,-0.1125935912132263,-0.9911918419505309,-1.0026146467715078,-1.1996958871005021,-0.7935936022483014
color_replacement,BLEU-1,18,-0.04856931969427526,-0.06422707381386315,-0.23843397727294036,-0.3153002091533747,-0.33420639847384775,-0.13507220167654643
color_replacement,BLEU-2,18,-0.06809126920691583,-0.02743760141905975,-0.31729139609788976,-0.12785361414509655,-0.4698632392734976,-0.16961983552953264
color_replacement,BLEU-3,18,-0.0652847566706748,-0.01403467617215435,-0.3305329136391449,-0.07105674653219335,-0.5356099061338233,-0.14266512851323104
color_replacement,BLEU-4,18,-0.040715536334751515,-0.0057673660244727,-0.24191954093835355,-0.03426796418921367,-0.45248797365532456,-0.07778943597341605
color_replacement,METEOR,18,-0.0561719183812262,-0.0171592714954835,-0.3187865672835868,-0.09738220475233973,-0.5450314554346842,-0.11873937001428495
color_replacement,ROUGE-L,18,-0.03651542980128687,-0.0192307692307693,-0.22796842602014689,-0.12005906041781407,-0.3518633220752772,-0.11670005003876165
color_replacement,CIDEr,18,-0.12650968044795793,-0.037419436139901854,-0.1785317854647305,-0.05280670002078072,-0.33279553106805,-0.0707491679231828
color_replacement,CLIPScore,18,-0.030603454344802383,-0.0281383097171783,-0.42518916702078613,-0.3909396741695562,-0.6500013787695923,-0.22200385184645588
color_replacement,polos,18,-0.0836595313416587,-0.0697808712720871,-0.7449648826489681,-0.6213792707737447,-1.1880787558700083,-0.30698545948952
